ko	en
누구에게 초콜릿을 선물할지 결정했니?	Did you decide whom to give chocolate to?
저는 기억 상실증 때문에 괴로워해요.	I suffer from amnesia
저는 그 의견을 전적으로 지지합니다.	I fully support that idea.
이번 겨울방학은 여러모로 나에게 매우 뜻깊은 방학이었어요.	This winter vacation was definitely worthwhile for me in various ways.
너와 나의 혈액형은 대체로 서로 잘 조화 돼.	The blood types of yours and mine are usually well harmonized together.
나도 타투 해보고 싶은데 아플 것 같아서 무서워.	I want to try getting a tattoo but I am scared that it might be painful.
저는 판에 박힌 생활을 하고 있어요.	I'm living a routine life. 
가이드 팁 포함해서 모두 얼마인가요?	So how much is for total including a guide tip?
지난 주말 호텔에서 쉬지 않아서인지 오늘은 피곤한 하루였습니다.	Maybe because I didn't take a rest in the hotel last weekend, today was a hard day.
본사에서 온 소포가 도착했습니까?	Has a parcel from the head office arrived?
이 계정은 회사 대표의 개인통장을 말하는 것이 맞습니까?	Is it correct to call this account the CEO's account?
택시를 타고 가시는 게 좋을 거예요.	You'd better catch a cab.
아기가 섭취하기 좋은 제품으로는 100% 홍삼 제품이 좋습니다.	Taking 100% contained red ginseng product will be great for the baby.
한국 올 때 비행기가 새벽으로 지연돼서 잠을 제대로 취하질 못했어.	I couldn't get proper sleep because the flight back to Korea got delayed to dawn.
우리가 필요한 것은 이 에너지를 활용할 아이디어에요.	What we need is an idea to utilize the energy.
종양이 존재해도 1차적으로 숙주는 생명에 위협을 안해요.	Primarily, it doesn't threaten the host even though a tumor exists.
그래서 상어를 키우는 게 내 목표예요.	That's why my goal is to raise a shark.
가끔은 친구들과 술을 마시러 가고요.	Sometimes I go drink with my friends.
내일 일찍 출근하기 위해 빨리 와라.	Come early to go to work early tomorrow.
갱신과 관련한 인증 서류를 제출하니 검토하여 주시기 바랍니다.	Please review those documents related to renewal that I submitted.
소포는 당신에게  드리는 선물이에요.	The parcel is a gift for you.
축구는 단결력을 요구하는 운동입니다.	Playing football requires solidarity.
당신은 모로코의 어떤 도시에 살아요?	What city in Morocco are you living in?
그녀의 수많은 사진들은 충격이에요.	Many pictures of hers are shocking.
한국에서 영향력 있는 신문에 기사가 게재되었습니다.	The article was published in an influential newspaper in Korea.
그것을 유지할 경제적 능력만 있다면,	As long as you have the financial capability to keep it,
그 차에 관해서 우리가 적용해야 하는 부분들을 알려주세요.	Tell me about the part we should apply to the car.
어제 너의 홈페이지에 사진을 올렸어.	I uploaded a photo on your home page yesterday.
저녁식사에 불러 주셔서 고마워요.	Thanks for inviting me for dinner.
노력한 사람과 노력 없이 좋은 위치에 있는 사람이 있습니다.	Some people work hard, and some people are in a good position even though they do not work hard.  
물량이 부족해서 2 주 안에는 받을 수 없다고 해요.	Because of the short supply, they said it's difficult to receive it within 2 weeks.
그녀의 불행한 어린 시절은 지울 수 없는 흔적을 남겼습니다.	Her miserable childhood made an ineffaceable mark. 
토요일은 영화를 봤고 일요일은 올림픽 공원을 산책했어요.	I watched a movie on Saturday and took a walk through Olympic Park on Sunday.
그런데 2학년 때 두 시간 컴퓨터 게임을 한 적이 있었다.	However, I've played a computer game for 2 hours when I was a sophomore.
추가로 궁금한 내용이 있으면 메일 주시면 알려드리겠습니다.	Please email me if you have further questions, then I'll let you know.
이곳은 필리핀보다 한 시간이 빨라요.	This place is an hour faster than the Philippines.
이 두 구절이 이해가 가지 않아요.	I don't understand these two phrases.
두 달 동안 해야 하는데 힘드네.	It is a 2-month project but I feel tired.
뮤지컬 제목은 아가씨와 건달들이에요.	The title of that musical is Ladies and Gangsters.
3일 전부터 기침, 열이 계속 났나요?	Have you coughed and had a fever for 3 days?
체크아웃 이후에 짐은 지하에 코인을 넣고 맡겨 놓을 수 있나요?	Can I keep my luggage at the underground coin baggage lot after checking out?
이 로봇은 인공 지능으로 작동됩니다.	This robot is operated by artificial intelligence.
우리는 뚜렷한 성취 목표를 가지는 법을 배워야 합니다.	We must learn how to get a clear goal for achievement.
나는 금요일에 원주에 갈 예정입니다.	I'll go to Wonju on Friday.
마음이 편안해지고 내일이 기다려지는 장소입니다.	This place comforts me and makes me look forward to tomorrow.
동일 회사 핸드폰으로 전 모델보다 편리한 기능이 많다.	It's a cellphone from the same company with more convenient functions than the previous model.
나는 이 영화에서 자살을 살자로 바꾼 것이 마음에 든다.	I love how this movie turned the idea of suicide to emphasize the importance of living.
우리는 김밥을 먹은 뒤 영화를 봤어요.	We went on to watch a movie after eating kimbab.
조지 부시는 정말 재밌는 인물이에요.	George Bush is a very interesting person.
방문 전에 확인하고 방문을 하는 게 좋습니다.	It's better to check before visiting.
나의 딸이 가장 좋아하는 책은 위인전이에요.	My daughter's favorite book is a biography.
곧 가루다 항공이 스카이팀 멤버가 되는 것으로 알고 있습니다.	I know that Garuda Airlines will become a member of SKY TEAM soon.
삼성이 요청한 보험 증서와 이메일 내용을 첨부합니다.	I attached the insurance policy and the email requested by Samsung.
그러나 가능하지 않다면 사용하면 안 될 것 같아.	But if not possible, it's better not to use it.
아무도 저희를 막을 수가 없었습니다.	Nobody could stop us.
회계는 경영을 숫자로 바꾼 것입니다.	Accounting is interpreting business in number.
축구에서도 헛발질로 상대방을 헷갈리게 하는 경우가 많잖아요.	In soccer, there is also a lot of time when you confuse the opponent by false kicking.
인도는 독특한 문화가 많은 것 같아.	India is likely to have many distinctive cultures.
버버리로 가는 길을 알려 주시겠어요?	Could you tell me how to get to Burberry?
대전에서 과학 박람회가 열리고 있어요.	A science exhibition is opening in #Daejeon#.
1-3월 재고 현금화 관리 업무를 합니다.	I'm working on January-March Inventory encashment management.
열심히 사재혁 선수를 응원할 거예요.	We will keep our fingers crossed for athlete #Jae-Hyuk Sa#.
입술에도 선크림을 발라주어야 합니다.	You need to put sunblock on your lips, too.
나는 대한항공 일등석에 탑승하고 세부에 가겠습니다.	I will go to Cebu by boarding the first-class of Korean Airlines.
그들은 화려하게 박자에 맞춰 춤춰요.	They dance fancifully along the tempo.
그 교수는 학생들의 마음을 잘 알아요.	The professor knows well how students feel.
비상사태 시 빨간 버튼을 누르시오.	Push the red button in case of an emergency.
난 한 달에 한 번씩 꼭 혼자서 여행을 다닙니다.	I always go traveling once a month on my own.
항상 몸조심하고 감기 조심하세요.	Take care of yourself and be careful not to catch a cold.
이전 계좌번호는 일시적으로 현재는 사용 가능합니다.	The former account number now can be used temporarily.
난 지금도 행복하고 앞으로도 행복할 것이라 생각해요.	I'm happy right now and I think I will keep on being happy.
오늘 너희 친구들과 만날 수 있니?	Can I meet your friends today?
아니 나도 타고 싶지만, 시간이 없어.	No, I would like to ride but I have no time.
나는 오늘 학교에 있는 영어 클럽에 가서 수업을 받았어.	Today, I took a class at the English club in school.
어린 사슴의 다리가 덫에 끼었습니다.	A young deer got its leg stuck in a trap.
왜냐하면 과학 시행 평가를 해야 했기 때문이었어.	Because I had to do the science performance evaluation.
당신은 짧은 어프로치 샷의 귀재예요.	You're a master of the short approach shot.
나는 귀가 후에 컴퓨터 게임을 한 시간 동안 즐겨요.	I enjoy computer games for an hour after coming back home.
우리는 피곤한 상태로 차에 올라탔어요.	We got on a car in exhausting conditions.
멀리서나마 함께함을 느끼시길 바라요.	Although you are not here, I hope you feel the pleasure of togetherness.
나와 함께 하기 전까지는 너 스스로 잘 챙겨야 해.	You have to take care of yourself until being with me.
우리는 테스트를 몇 차례 진행했어요.	We carried out the test several times.
고객사와 협의하여 당신이 원하는 두께를 말해 주세요.	Tell me what thickness you want after discussing with your client company.
두 가지 사이즈로 제작할 계획이에요.	It will be produced in two sizes.
당신의 행복한 순간 언제나 뷰티벨이 함께 합니다.	Beautibell is always with you at your happy moments.
내가 서명할 수 있는 문서가 있어.	There is a document that I can sign on.
어떤 일을 할 때 그런 열정이 나오나요?	What work makes you passionate like that?
이 점 양해해 주시면 감사할 것 같아요.	I would appreciate it if you would kindly consider it.
닭칼국수, 초계 국수 등을 팔아요.	We sell chicken noodle, cold chicken noodle, etc.
명동은 쇼핑할 곳과 먹을 것이 많아요.	There are lots of places to eat and shop in #Myeongdong#.
말을 많이 하고 싶지만, 단어가 떠오르지 않아.	I want to be talkative but I have no idea which word I should say.
그곳에는 안전하며 풍부한 문화가 있어요.	They have a safe and plentiful cultures there.
커버가 느슨한 것은 사용 가능한가요?	Is the loose cover available?
두 번째 실험의 분산성이 가장 우수하게 나타났습니다.	The dispersibility in the second experiment turned up to be the greatest.
이건 모든 교원과 관련된 문제입니다.	This is an issue related to every teacher.
라헬은 고등학교를 졸업한 이후로 짧은 머리를 하고 있어.	Rahel has kept his hair short since he graduated from high school.
너는 우선 회사에 전화해서 바꿀 수 있는지 알아봐.	Call the company first and see if it can be changed.
저는 유아 교육 학과에 재학 중이며 유아 교육에 대한 열의가 높습니다.	I enrolled in Early Childhood Education and I have high enthusiasm for early childhood education.
만일 네가 현재 상태에서 진행하는 것이 가능하다면 좋을 거야.	If you can proceed from the current situation, it would be perfect.
아버지에게 힘이 되는 딸이 되고 싶습니다.	I want to be a helpful daughter for my father.
저희도 정확하게 말씀해주시면 편해요.	We are more convenient when customers mention precisely.
실내에서도 따듯하게 입기 좋은 원피스입니다.	This dress will make you warm indoor.
문법을 확실히 알아 두면 유용하게 쓸 수 있어.	If you can master grammar now, it'll be useful later.
우리가 기록한 번호가 잘못됐어요.	The number we've recorded is wrong.
혹시라도 강한 충격을 받는다면 실리콘이 움직일 수도 있잖아요.	But the silicon can move when it gets a strong impact. 
녹이 발생하기 전에 순서를 변경하여 사용합니다.	Before the greenish starts, we need to change the order and use it.
이런 말을 하는 이유를 모르겠어요.	I don't know why I'm saying this.
옛날에 저러한 기술을 표현할 수 있었다는 게 놀라웠어요.	I was surprised that they could express those technologies in the past. 
우리는 국산화 계획을 위한 사양 정리를 위하여 노력하고 있습니다.	We are working on organizing specifications for localizing plan.
휴대전화 잠시 빌려 쓸게요.	Let me use your cellphone for a moment.
왜냐하면, 처음 타 보았기 때문입니다.	Because this is my first ride.
저는 그가 소풍 가는 것을 허락했어요.	I allowed him to go on a picnic.
1년동안 너희들과 좋은 추억 만들면서 잘 지냈으면 좋겠어.	I hope we can be good friends and get by for the next year.
내 요청 사항을 확인했는지 궁금해요.	I wonder whether you checked my request or not.
시즌 2를 제작한다 들었는데 시기는 어떻게 됩니까?	I heard that season 2 will be produced, when will this be?
나는 내 차 안에서 기다리고 있어.	I am waiting in my car.
경제가 내년에 회복될 거라고 합니다.	It's said that the economy will recover next year.
사진을 확인해보니 팩킹에 실수가 있었던 것 같습니다.	We think there was a packing mistake from looking at the photo.
당신이 반송한 물건이 아직도 도착을 안 했습니다.	The product you returned hasn't arrived yet.
물론 제 전화번호를 미리 등록해 놔야 합니다.	Of course, I should register my number beforehand.
그는 전혀 상관하는 것 같지 않아요.	He doesn't seem to care.
현재 많이 벌어지고 있는 일입니다.	It's happening a lot these days.
커피숍에는 항상 물이 준비되어 있어요.	Coffee shops are always prepared with water.
나는 영어 해석은 할 수 있지만 말하진 못해요.	I can understand English, but I cannot speak it.
책상 위에 포장하여 올려뒀어요.	I placed it on the desk after packing.
시차가 11 시간 나기 때문이에요.	Because there is an 11-hour time difference.
달에는 불편한 점이 많을 것 같아.	There will be so many uncomfortable situations on the moon.
저는 자유민주주의를 지키는 군인이에요.	I am a soldier who protects liberal democracy.
이것은 단순히 당일 스케쥴 변경으로만 보기 힘드네요.	This isn't just a mere change in the daily schedule.
내 차를 고치는데 비용이 얼마 드니?	How much does it cost to fix my car?
계정 정지를 풀어주시면 감사할 것 같아요.	It will be appreciated if you release the account suspension.
이 신발은 타이트하게 신어야 해요.	You have to wear these shoes tightly.
당신은 내 친구를 원한다고 말했어요.	You said you want my friend.
어느 곳에서나 일어가 통용되었거든요.	Japanese was spoken everywhere.
일주일 정도만 기다리면 도착할 거예요.	It will be delivered in a week.
저는 영양학을 전공했지만, 아이들이 좋아서 이직했습니다.	I majored in nutrition, but I changed my job because I love children.
항상 그랬던 것처럼 오늘 오후부터 당신이 추적이 가능할 겁니다.	As always, you'll be trackable starting from this afternoon.
가끔 저는 한국에 있는 것 같아요.	Sometimes, I feel like I am in Korea.
그녀는 성적인 자유를 즐기고 있어요.	She is enjoying sexual freedom.
스마트폰은 양날의 검과 같은 존재다.	A smartphone is double-bladed.
화재나 천재지변에 의한 손상일 경우입니다.	In case of it's damaged due to fire or natural disasters.
내가 카드 회사에 신고하면 100 프로 환불 받을 수 있어요.	If I report to my card corporation, I can receive a full refund.
나는 그 카페 더치 커피를 좋아해요.	I like Dutch coffee in that coffee shop.
당신은 비슷한 스와치를 받아 보는 것이 좋을 것 같습니다.	I think you'd better receive a similar swatch.
이 근처에 택시 정류장은 어디에 있죠?	Where is the taxi stop near here?
이곳이 유명한 이유는 밑반찬들을 마음껏 먹을 수 있기 때문입니다.	The reason why this place is famous is that you can eat as many side dishes as you want.
고객은 가능한 한 빨리 문제점을 해결하기를 바랍니다.	The customer wants to solve the problem as soon as possible.
이번엔 화사한 게 하고 싶어 오크 쇼트 원단을 사용해 본다.	I am using oakshott fabrics to brighten things up this time. 
회사에 확인한 결과 물건을 못 받았다고 합니다.	I checked with the company, and they said they didn't get the product.
특이하며 실험적인 소재들을 사용해요.	They use unique and experimental materials.
단지 묻는 행위만으로도 당신은 너무 많은 대답을 하고 있거든요.	You're answering too much just by asking.
제 아들이 아직 학교에 있어서 조금 늦게 도착할 것 같아요. 미안해요.	I'm sorry that I'm going to get there a little later for being at my son's school.
이게 그 팸플렛의 가장 최근호입니다.	This is the most recent edition of the pamphlet.
내일이 오지 않을 것처럼 오늘을 살아라.	Live today as if you will never see tomorrow.
저희에게 기회를 주셔서 감사드려요.	Thank you for giving us a chance.
스케줄이 정해지면 너에게 보내줄게.	I will send you the schedule when it is set.
우체국에서 카드를 보내 주지 않아.	The post office doesn't send a card.
이 부근에 해산물 잘하는 음식점을 알고 계세요?	Through the interview, I was naturally able to describe the history and the technology related to the product.
전공에서도 회계학에 관심이 있어서 중점적으로 공부했습니다.	Since I was also interested in my major's coverage of accounting, I studied it extensively.
선생님을 위해서 산 케이크였지만 우리가 다 먹었어.	It was a birthday that made me think I have to be good to my parents.
이 레시피는 오븐이 필요없어서 쉽게 만들 수 있어요.	This recipe doesn't require an oven, so it’s a lot easier to do.
인터넷으로 회원 가입을 하고 카드 넘버를 기록해요.	Sign into the internet and then record your card number.
카페에서 일하고 있는데 손님이 없어.	There is no one in the cafe I am working at.
나는 장기가 필요한 다른 환자들에게 장기를 이식해줄 수 있어요.	I can transplant my organs into other patients who need them.
당신은 정말 사격 솜씨가 좋으시네요.	You're excellent at firing. 
지금 퇴근 후 달리기할 예정이에요.	Now I'm planning to run after work.
택시가 도착하려면 5분 정도 기다리셔야 됩니다.	Please wait for a taxi for approximately 5 minutes.
하나만 약속해 줘. 절대 나에게 거짓말은 하지 마.	Come and see a doctor if it keeps bleeding.
그 남자는 현대 캠프 주변에 간판을 설치했습니다.	That man installed a signboard near the Hyundai Camp.
들안길에는 한식, 양식, 일식 등 다양한 먹거리가 있습니다.	There are many kinds of food such as Korean food, Western food, and Japanese food at Deuran-gil.
크리스마스 캐럴이 울려 퍼지고 있어요.	The Christmas carol is playing all around.
해리스 앤 홈즈 근처에 근사한 직장을 잡으셨다고요?	You said you got a great job near Harris and Holmes?
너에게 전화하라고 그녀에게 말할게.	I will tell her to call you.
그러면 리 씨는 안 갈 것이에요.	Then Mr. Lee will not go.
이음새 등 차이점이 있기 때문입니다.	There are some differences such as joints.
때문에 당연히 나도 공부를 열심히 해야만 해요.	Because of this, I too must study hard.
몇 시간 동안 계속 걸어서 피곤해요?	Are you tired of walking for hours?
우리는 도착하자마자 물놀이를 했어요.	We went straight to the water as we got there.
직접 만든 홈 브루잉 맥주와 피자를 즐길 수 있는 펍입니다.	It is a pup where you can enjoy a self-made home brewing beer and pizza.
이것은 저렴한 가격으로 보편화했어요.	It is generalized at a reasonable price.
제주도는 대한민국의 최남단 섬이며, 화산섬 입니다.	Jeju island is the southernmost island in South Korea, and it is a volcanic island.
중국과 한국은 둘 다 아시아권이에요.	Both China and Korea is in Asia.
향후 이 제품을 이용할 수 있나요?	Can I use this product from now on?
운전 중 실수 횟수는 몇 번인가요?	How many faults have you done during driving?
졸업한 후에 독일에 가고 싶어서.	Wanting to visit Germany after graduation.
나는 회의 후에 클라이언트들의 저녁 식사를 도울 것입니다.	I'm going to help the clients to dinner after the meeting
네, 고등학교 이후에 쭉 바라왔어요.	Yes, I've been looking for since I was in high school.
계정을 삭제하고 신규 등록할게요.	I will delete my account and register a new one.
우선 게스트하우스에 관심을 가지고 문의를 해주셔서 감사합니다.	First of all, thanks for taking interest in the guesthouse and taking your time to make an inquiry.
우리는 다양한 자전거 문화를 즐겨요.	We enjoy various kinds of bicycle cultures.
한 방울도 헛되이 새어 나가지 않게 할 수 있다면 허락할게.	If you can make even a drop not leak, I will approve it.
이번에 결혼한 친구도 서울에 살아요.	My friend who got married at this time lives in Seoul.
판매가격이 거의 제조원가 수준이에요.	The selling price is almost the same as the manufacturing cost.
욧수야에서 몇 정거장을 더 가야 해요?	How many stops do I need to go from Yotsuya?
그러나 중요한 것은 그가 일을 잘하느냐 못 하느냐에 요.	The important thing is whether he's good at work or not.
10억의 반은 부모님께 드릴 것입니다.	I will give my parents half of a Billion
오늘도 열심히 먹고 있을 당신을 위해서 준비했어요!	I've prepared this for you, you continual eater.
당신에게 휴양지로 몰디브를 추천해요.	I would like to recommend you Maldive for a vacancy spot.
운전 중 휴대폰 사용은 금지에요.	It is not allowed to use a phone while driving,
당신이 천천히 이야기해 줘도 나는 잘 이해하지 못해요.	I can't understand what you're saying even though you're saying it slowly.
나는 너가 항상 건강하고 이쁘게 자라길 바란다.	I hope you always grow up as a healthy and lovely person.
당신은 유명한 파인애플 집을 아세요?	Do you know the famous pineapple store?
우리 여행 계획이 지금 정해졌습니다.	The plans for our trip were made just now.
나는 니가 항의한 구독자들에게 사과하기를 제안해요.	I suggest you apologize to the subscribers whom you protested to.
가기 전에 할머니 집에 들렀다 가렴.	Before you go, please stop by the grandmother's house.
군대를 다녀오고 일을 했기 때문이에요.	It is because I worked after finishing my military service.
훈련하면서 한 달에 10,000,000원을 지급해야 했어요.	I had to pay 10,000,000won per month for the training.
아침에 상쾌한 노래를 듣는 것은 비타민을 먹는 것과 같아.	Listening to fresh music in the morning is like eating vitamins.
인터넷을 통하여 다양한 종류의 지식을 경험 할 수 있습니다.	We can experience various types of knowledge through the internet.
리스트 검토 후 필요한 물품이 있으면 필히 연락드리겠습니다.	If there's any necessity after checking the list, I'll certainly contact you.
33번 이용하는 게 시간 절약돼요.	You can save your time by taking 33.
당신은 로맨틱한 남자를 좋아하나요?	Do you like a romantic guy?
내가 다른 친구를 찾으면 연락할게.	I will contact you if I find the other friend.
지금까지 상표분쟁이 전혀 없었어요.	I have never had any disputes over my brand.
글쎄, 최소한 하루 기다리셔야 해요.	Well, you'll have to wait at least one day.
이번 여행 후에 영어 공부를 열심히 해야겠다고 느꼈어요.	After this trip, I realized I should study English harder.
내가 너무 혼자 불안해한다는 것을.	That I'm nervous all by myself.
면역력이 약해져서 당신이 감기에 자주 걸린다.	I can understand through my head but can't by heart.
저 배의 출항 시간은 다섯 시에요.	That ship's sailing time is five o clock.
내 메일을 확인하지 않기에 뭔가 오해가 있나 했어.	I thought there was a misunderstanding because you didn't check my mail.
차단을 대비해서 또다른 사이트의 게시물도 가져와야 합니다.	In preparation for a shut-down, we need to bring posts from other sites.
이번 목요일에는 가지 않을 예정이에요.	I'm not going this Thursday.
사용한 지 오래되어 약간 걱정이에요.	I am worried because it's been long to be used.
비행이 피곤했을 텐데 휴식 충분히 하시고 수요일에 뵙겠습니다.	You must be tired from the flight, take enough rest and I'll see you on Wednesday.
마음이 편안해지고 다시 한번 생각해게 된다.	My mind becomes comfortable and makes me think again.
그래서 대신 초록색으로 보내도 될까?	So, is it possible to send you the green one instead?
이 학생의 홈스테이 주+D342:D375소와 항공권을 요청합니다.	I would like to request the homestay address and airline ticket of this student.
당신이 가능한 다큐멘터리 리스트를 제공해 주실 수 있는지요?	Can you give me the list of documentary that is available?
둘 다 잘하지는 못하지만 재미있어.	I'm not good at both but they are fun.
이 소포 묶는 것 좀 도와주시겠어요?	Would you help me tie this parcel?
왜냐하면, 다음 날이 주말이기 때문이에요.	Because the following day is the weekend.
혹시 702호에서 분실물 발견된 것이 있었나요?	Is there any lost article found in room 702?
그의 대표적인 영화는 타이타닉입니다.	His most famous movie is Titanic.
당신이 필요한 것 만 원하고 내가 필요한 것은 주지 않잖아.	You only want what you need, but you do not give me anything I need.
애슐리 넌 충분히 사랑받을 수 있어.	Ashely, you can be loved enough.
저는 이제 학교에 가고 오늘은 시험을 보는 날이에요.	I go to school now and l will take the exam.
그러나 이라크에서 평화는 얻기 힘들어요.	But, it is difficult to find peace in Iraq.
그들은 데이터 관리를 해야만 해요.	They have to manage data.
두 번째는 충분히 잠을 자는 것이에요.	The second thing is to get enough sleep.
필리핀에서 한국 영화 상영하면 보러 가려고 했어요.	I was going to go to the theater if a Korean movie plays in Philippine.
적시의 교육훈련을 통해 정보 시스템 운영에 효과적으로 적용했습니다.	We effectively applied the information from our training to our information system operations.
기초 화장 후 적당량을 덜어 피부에 골고루 펴 발라준다.	After you base makeup, dole a moderate amount and spread it evenly over your face.
내가 가면 공항에 마중 나올 건가요?	Are you going to pick me up if I go there?
왜냐하면 번호가 바뀌어서 넷 코드를 받을 수가 없어요.	Because the number has been changed so I can't receive the net code.
클래식은 이해하기는 어렵지만 듣는 것은 좋은 것 같아.	It is hard to only have a favorable view of the case that Juhwan said.
어디로 가고 싶은지 말씀해 주세요.	Tell me where you want to go.
저기요, 저 젊은이들이 춤을 추네요.	Look, those young people are dancing.
남극의 면적은 한반도의 60배예요.	The South Pole is sixty times bigger than the Korean Peninsula.
그것들은 좋은 주식들이기 때문이에요.	Because they are good stocks.
그녀가 노래하는 것을 들으면 언제나 나는 행복해진다.	I am always happy when I hear her singing.
우리 지금 한국 연예인에 관해 이야기 하고 있어요.	We are talking about Korean celebrities now.
픽업 오는 차량 번호를 잊어버렸어요.	I forgot the number of the car that picks me up.
진정으로 원하신다면 제가 살게요.	I'll buy it if you really want.
남학생이 여학생을 보고 영어의 필요성을 느낀다.	Seeing female student, Male student feels the necessity of English.
만약 내가 틀린 말을 하면 주저 없이 고쳐 주세요.	Please don't hesitate to correct me if I say something wrong.
그가 그 실험을 끝마쳤을 때 그는 그 문제점을 알아냈습니다.	He realized the problem when he completed the experiment.
난 이 음악 그렇게 좋아하지 않아요.	I don't like this music that much.
먼저 당신은 학생들이 알파벳을 알고 있는지 확인하세요.	First, please check if students all know the alphabet.
양파는 노릇하게 굽고 감자는 삶아요.	Brown the onions and boil the potatoes.
이것을 토대로 계약서 진행을 합니다.	We will proceed with the contract based on this.
오늘 저녁부터는 조금 아플 수 있어요.	It could be a bit painful from tonight.
나는 튤립 향기를 맡아 본 적이 없어.	I've never smelled tulip.
영어를 잘 못 해 대신 문자를 보냅니다.	I am sending you a message instead because I am bad at English.
나는 오늘 종일 네 걱정만 했어.	I've been worried about you all day long today.
하지만 정확한 시간을 잊어버렸어요.	However, I have forgotten the exact time.
그가 어떻게 나한테 이럴 수 있는지 모르겠어.	I can't believe how he could do this to me.
전처럼 저렴하게 제품을 공급해 주세요.	Please offer it as cheap as before.
그들이 방심한다면 좋지 않은 상황으로 발전 할 수 있어요.	If they are careless, it can develop into a bad situation.
Y2K에 대해 혹시 뭐 알고 계시는 거 있어요?	Do you know anything about Y2K by any chance?
이 들은 앨범의 모든 노래를 스스로 작곡하고 있어요.	They produce all of their own songs.
그들에게 좀 조용히 하라고 해주세요.	Please tell them to be quiet.
우리 친구들도 화산 놀이 함께 해봐요!	Let's play the volcano game altogether!
맛있는 커피 한 잔은 작은 행복을 나눌 수 있다고 생각해요.	I think a cup of delicious coffee can share small happiness.
내가 집에 혼자 있을 때 현관문 열리는 소리가 났어.	When I was home alone, I heard the noise of opening the door.
저는 스플리트에서 출발할 예정이에요.	I will depart at Split.
이 과정이 제가 아는 거예요.	This procedure is what I know.
그러나 창문이 없는 것이 걱정이에요.	But I'm worried that there is no window.
나는 김포공항 근처 김포에서 살아요.	I live in #Gimpo# near #the Gimpo airport#.
해양경찰청 후문에서 송도국제어린이도서관으로 가고 있어요.	I'm on the road from 
당신은 멕시코 어디에 살고 있나요?	Where exactly do you live in Mexico?
친구추가를 한 목적이 그것이라면 나는 사양하겠습니다	If that was your purpose of adding me as a friend, I will reject it.
자 그럼 저희 발표를 본격적으로 시작해보겠습니다.	Now, we'll move on to kickstart our announcement.
우리는 먼저 준비 운동을 해야 해요.	We need to warm up first.
요청하신 사항에 대한 대응이 미흡한 점 죄송스럽게 생각합니다.	I am deeply sorry about our insufficient response to your request.
대기 잡음으로 어려움 겪으신 적 있으세요?	Have you ever been distressed with atmospherics?
내가 선박 회사에 문의 하니 화물이 어제 출고되었다고 하네요.	After I asked the shipping company, they told me the cargo had started shipment yesterday.
납기를 최대한 단축할 수 있도록 신경 써 주세요.	Please pay careful attention to shorten the date of delivery as possible as you can. 
첫 번째 집안은 파티문화가 다르다.	The first family has a different party culture.
내가 일이 힘은 들지만 가족을 생각하면 힘들지 않아요.	The thoughts of my family keep me from getting dragged down at work.
나는 오늘 회사에서 일이 늦게 끝나서 갈수 없어요.	I can't go, work ends late today.
논문을 접수한 후 아직 어떠한 연락도 받지 못했습니다.	After submitting the dissertation, I haven't got any contacts so far.
4학년은 현장 체험 학습을 가기 때문에 수업을 안 들어도 돼.	4th graders go on a field trip so there's no need to attend class.
다시 결합을 논의할 가능성은 없어요?	Is it impossible to discuss the union again?
대다수의 대학생들은 평소 학업으로 인한 스트레스를 받고 있습니다.	Most of the students are under stress owing to their study.
다음 주에 화요일부터 일주일 동안 숙박 가능한가요?	Is it possible to lodge from next Tuesday for a week?
히로시마 대회 때 정식 종목으로 채택 되었다네요.	It's now going to be an official category at the Hiroshima games.
역사 공부를 하면 할수록 공무원이 되고 싶은 마음과 열정이 커졌습니다.	The more I studied history, the more I wanted to become a government employee.
가족들에게도 제 위로를 전해 주세요.	Please offer my condolences to your family.
그냥 우리 회사를 위한 그녀의 마음이라고 이해해라.	Just think of it as her devotion toward the company.
잔치국수, 콩국수 등을 팔아요.	We sell banquet noodles, cold bean-soup noodles, etc.
기온에 따라서 1월 아니면 2월이요.	In January or February, depending on the temperature.
일본 삿포로 날씨는 지금 상당히 추워요.	It is very cold now in Sapporo, Japan.
선생님은 대학교 3학년 여학생이에요.	The teacher is a female junior in her university.
영화는 섬세하고 다양한 표현 들을 보여 주지 못합니다.	Film cannot show the sophisticated and various expression.
혹시 네가 한국말을 이해를 못하겠다면 나에게 말해 줘.	If you can't understand Korean, please tell me.
뭡니까? 변호사라고 왜 안 밝혔어요?	Why didn't you tell that you're a lawyer?
풍경은 애월 해안도로에 위치하고 있으며, 전 객실 바다가 보입니다.	Poong-Gyeong is located at Aewol coast road and it provides an ocean-view from all of its rooms.
이번 주에는 학생들의 자리를 바꾸지 않았으면 합니다.	I hope students do not change their seats this week.
이로 인해 학업 성적의 저하를 가져올 수 있습니다.	This could lower academic achievements.
나는 최소 한 달의 후임자 인수인계 기간이 필요합니다.	I need at least a month of transition period for my successor.
또 원하면 환불해 준다는 게 같은 무책임한 말을 할 것인가요?	Are you going to say that kind of irresponsible word again that you will refund it if I want?
그리고 사용했던 물건들도 재활용하는 습관이 필요하다고 합니다.	And they said a habit of recycling the products we used is also needed.
당신이 구매한 모듈은 이미 그것을 가지고 있다.	The module you purchased already has it.
주말에 신속한 답장 정말 고마워요.	Thank you so much for such a swift response on the weekend.
그녀가 몇 살인지 맞히실 수 있어요?	Can you guess how old she is?
