id,qid1,qid2,question1,question2,is_duplicate
3028,6055,6056,술먹고 연락도 없는 ,술만 먹으면 전화를 안 받아,0
3029,6057,6058,술먹고 연락오네,술이 왠수지,1
3030,6059,6060,술병이네,술주정,1
3031,6061,6062,술을 마시니까 더 생각나는 날이에,술 한잔 먹고 적어,1
3032,6063,6064,술이 보약도 아니고,술 한 잔 했어,1
3033,6065,6066,술이나 마시고 싶다,술 좀 마실까,0
3034,6067,6068,술이야,숨막히는건 없어졌네,1
3035,6069,6070,술자리에서 그만 마시라고 해주는 짝녀 무슨 뜻일까요?,술 그만 마시라고 해주는 짝녀 무슨 뜻일까요?,0
3036,6071,6072,술집에서 헌팅했어,오늘 술집에서 헌팅했어,0
3037,6073,6074,술취해서 전화했어,쉬는 중입니다.,1
3038,6075,6076,술한잔 해야 하루가 가,쉽지않은 날들,1
3039,6077,6078,숨막히네,스타트업하면 위험할까,1
3040,6079,6080,숨어서 보기.,"슬퍼, 그리고 아려",1
3041,6081,6082,쉬고 싶은데 회식 가야돼,일찍 가서 쉬고 싶은데 오늘 회식 잡혔어,0
3042,6083,6084,쉬는 날이라고 했는데 만나자는 말이 없어.,쉬는 날인데 만나자는 말이 없어.,0
3043,6085,6086,쉬는 중입니다.,놀아 줄 사람이 없어,1
3044,6087,6088,쉬는날인데 왜 만나자고 안하지,쉬는날인데 왜 만나자는 말을 안하지,0
3045,6089,6090,쉬운 게 하나도 없네,쉬운 게 없네,0
3046,6091,6092,쉬운 게 하나도 없는 듯,뭐 이렇게 쉬운 게 없지,0
3047,6093,6094,쉽게 상처받는 거 같아,말이 제일 무서운 듯,0
3048,6095,6096,쉽지 않겠지만.,슬퍼죽겠습니다,1
3049,6097,6098,슈퍼문이라더니 예쁘다.,슈퍼문이야,0
3050,6099,6100,스노우보드 배우러 갈거댜,보드 타러 가야지,1
3051,6101,6102,스노클링 재미있을까?,스노클링 해볼까?,0
3052,6103,6104,스드메 계약했어,스드메 한꺼번에 계약했어,0
3053,6105,6106,스몰웨딩 결심했어,스몰웨딩으로 하려고,0
3054,6107,6108,스스로에게 너무 인색했네,슬픈 메리크리스마스이브입니다 .,1
3055,6109,6110,스케일링 하기 귀찮아,스케일링 하러 가야지,0
3056,6111,6112,스쿼트 하면 무릎에 안좋겠지?,무릎 안 좋으면 스쿼트 하면 안되겠지?,0
3057,6113,6114,스키 강습 받아야 될까?,스키 처음 타는데 강습 받아야 되나?,0
3058,6115,6116,스키 배워보고 싶다.,스키 안 타봤어,0
3059,6117,6118,스키 첨 타 봤어.,스키 처음 타 봐!,0
3060,6119,6120,스키장 간다!,주말에 스키장 간다!,0
3061,6121,6122,스키장 알바 하면 재밌을 듯,스키장 알바 재밌대,0
3062,6123,6124,스킨 없다,스킨 떨어졌다,0
3063,6125,6126,스킨십 어떻게 생각해?,스킨십 어떻해?,0
3064,6127,6128,스타벅스 같은데 가봤어?,스타벅스 가봤어?,0
3065,6129,6130,스타트업에 가도 될까?,스타트업에 취직해도 될까?,0
3066,6131,6132,스타트업에 투자하는거 어때?,스타트업에 투자해볼까?,0
3067,6133,6134,스터디 카페 좋다,스터디 카페 왔어,0
3068,6135,6136,스터디 하다 만났어,스터디 하다 만났어,0
3069,6137,6138,스테끼 먹은거 몇 년 만이냐,오랜만에 스테끼 먹고 싶어,0
3070,6139,6140,스테이크 먹고 싶어,스테이크 썰고 싶다,0
3071,6141,6142,스테이크 먹으러 가고 싶어,스테이크 썰러 가고 싶어,0
3072,6143,6144,스튜디오 촬영은 하지 말까?,스튜디오 촬영은 하지 말까?,0
3073,6145,6146,스튜디오 촬영하는 날이야!,스튜디오 촬영하는 날이야!,0
3074,6147,6148,스트레스 주는 사람 어떻게 하지?,정신적으로 스트레스를 너무 주는데 이런 사람은 어떻게 상대해?,0
3075,6149,6150,스트레스 참기 어렵다,스트레스 받아,0
3076,6151,6152,스트레스 팍팍,스트레스 만땅,0
3077,6153,6154,스트레스 푸는 방법,스트레스 받는 데 어떻게 하면 좋을까,0
3078,6155,6156,스트레스~,아 스트레스 받아,0
3079,6157,6158,스트레스가 안 풀려,스트레스 받아,0
3080,6159,6160,스트레스성 위통이,슬픈 이별.,1
3081,6161,6162,스트레칭 해야되는데,스트레칭해야지,0
3082,6163,6164,스팸 갑자기 왜케 많이 와,스팸 메일 갑자기 많이 와,0
3083,6165,6166,스팸 문자 계속 와,스팸 문자까지 오네,0
3084,6167,6168,슬퍼.,슬픔이 더 커지는 아침이네,0
3085,6169,6170,슬퍼하지 않기 위해 노력하려구,습관이 무서워.,1
3086,6171,6172,슬픈 예감대로 되어가는 현실,시간을 되돌리고싶다,1
3087,6173,6174,슬픈게 솔직하면 안되는건가?,시간 낭비하지 마세요,1
3088,6175,6176,슬픔활용법.,시간을 갖자는 무슨 의미일까?,1
3089,6177,6178,습관 고치는 거 너무 어려워,습관을 고치기 어려워,0
3090,6179,6180,습관이 안 고쳐져,습관 못 고치겠어,0
3091,6181,6182,습관이라는게 무섭네.,습관처럼 생각나,0
3092,6183,6184,승부욕 있는 남자가 좋아,승부욕 있는 남자가 좋아,0
3093,6185,6186,시각한데 웃겨,웃으면 안되는데,1
3094,6187,6188,시간 갖는 거,시간이 약이긴 하네,1
3095,6189,6190,시간 잘 떼우는 방법,뭐하면 시간이 잘 갈까,0
3096,6191,6192,시간 진짜 빨리감,시간 왤케 빨리감,0
3097,6193,6194,시간은 눈물과 흐르고,시간이 약이라는데 독이 되는거 같습니다.,1
3098,6195,6196,시간을 돌리고 싶네,시간이갈수록,1
3099,6197,6198,시간이 가고 있나?,시간이란 약의 부작용,1
3100,6199,6200,시간이 너무 안 가 지루해,시간이 안 가,0
3101,6201,6202,시간이 약이긴 한가봅니다,시도때도없이 생각나네 그녀가,1
3102,6203,6204,시간이 지날수록 더 보고싶어,시원섭섭하지만 후련하네.,1
3103,6205,6206,시간이 휘리릭,시간이 너무 빨리 가,0
3104,6207,6208,시간이라는게 참 사람을 무색하게 만들죠,신나게 산책했습니다,1
3105,6209,6210,시간표 망했다.,시간표 개판,0
3106,6211,6212,시간표 잘못짰다,시간표 망함,0
3107,6213,6214,시계 소리 짱 커,시계침 소리가 크게 들리네,0
3108,6215,6216,시계 소리가 거슬려,시곗바늘 소리가 너무 크게 들려,0
3109,6217,6218,시계가 멈춘거 같아.,움직임이 없어.,0
3110,6219,6220,시계를 돌려받고 싶은데.,신혼여행 가서 돌아오기 싫다,1
3111,6221,6222,시계줄 다른 색으로 바꿔야지,시계줄 바꿔야지,0
3112,6223,6224,시골 내려가서 살까,시골에서 사는 거 어떨까?,0
3113,6225,6226,시급 얼마 받니,최저시급은 받니,0
3114,6227,6228,시누 좀 이상한 듯,시누이가 이상해,0
3115,6229,6230,시련,싫어지는것.,1
3116,6231,6232,시선이 자꾸 느껴져,다른 사람의 시선이 너무 신경쓰여,0
3117,6233,6234,시어머니가 같이 목욕탕 가재,시어머니가 같이 목욕탕 가재,0
3118,6235,6236,시어머니가 나만 미워하는 것 같아,시어머니가 차별해,0
3119,6237,6238,시어머니가 자꾸 카톡해,시어머니가 카톡해,0
3120,6239,6240,시어머니가 질투하는 것 같아,시어머니가 질투해,0
3121,6241,6242,시원한 냉면 먹고 싶어,냉면 땡긴다,0
3122,6243,6244,시트지로 붙여야겠다,시트지로 리폼해야겠다,0
3123,6245,6246,시험 공부 언제 다함,시험 공부 큰일,0
3124,6247,6248,시험 끝나고 우리 만나자,시험 끝나고 만나고 싶어,0
3125,6249,6250,시험 앞두고 짝사랑하는 여자가 생겼어요.,시험 앞두고 짝녀가 생겼어요.,0
3126,6251,6252,시험 없어지면 좋겠다.,시험 지겨워,0
3127,6253,6254,시험 왜 안 없어지지,시험 없어졌으면 좋겠다,0
3128,6255,6256,시험 준비 언제 끝나,시험 준비 빨리 끝났으면,0
3129,6257,6258,시험을 꼭 봐야하나 도망가고 싶다.,시험 보지 말까?,0
3130,6259,6260,시험인데 집중 안돼,시험 기간인데 집중이 안돼,0
3131,6261,6262,식당이나 하나 내볼까,치킨집 차릴까,1
3132,6263,6264,식비가 어마무시하다,식비가 너무 많이 나와,0
3133,6265,6266,식상한 말이라도 사랑한다고 했으면 좋겠다,사랑한다고 했으면 좋겠다,0
3134,6267,6268,식욕폭발해서 폭풍 먹방 찍었어,식욕폭발,0
3135,6269,6270,신경 쓰여,사람들은 왜 이렇게 신경쓸까,0
3136,6271,6272,신경쓰지 말아줄래 라고 하네,심난하네,1
3137,6273,6274,신경이 바늘 끝 같아,자꾸 날카로워진다,0
3138,6275,6276,신기해,신기한 일들이 많이 일어나,0
3139,6277,6278,신뢰 회복할 수 있을까?,신뢰에 금 간 거 같은데 회복할 수 있을까?,0
3140,6279,6280,신발 새로 샀다,새 신발 샀어,0
3141,6281,6282,신발 선물 받았어,새 신발 선물 받았다,0
3142,6283,6284,신용카드 다 없애야겠어,이 놈의 신용카드 다 없애야지,0
3143,6285,6286,신입이 벌써 치고 올라온다,치고 올라오는 신입,0
3144,6287,6288,신청했더니 정말로 왔네ㅎㅎ,심란하네,1
3145,6289,6290,신혼 길게 즐기고 싶어,신혼 생활 길게 즐기고 싶어,0
3146,6291,6292,신혼 진짜 행복해,신혼 진짜 행복해 결혼하길 잘했다.,0
3147,6293,6294,신혼같지가 않아,신혼이 신혼 같지가 않아,0
3148,6295,6296,신혼생활이 영원했으면,신혼 생활이 영원했으면 좋겠다.,0
3149,6297,6298,신혼여행 가서 돌아오기 싫다,아무도 안 놀아줘,1
3150,6299,6300,신혼여행 어디로 갈까?,신혼여행 어디로 갈까?,0
3151,6301,6302,신혼여행 한달쯤 가고 싶다,신혼여행 길게 가고 싶다,0
3152,6303,6304,신혼인데 남편이랑 자주 부딪혀,신혼인데 남편이랑 자주 부딪혀,0
3153,6305,6306,신혼인데 엄청 싸워,신혼인데 엄청 싸워,0
3154,6307,6308,신혼집 인테리어 어떻게 하지,신혼집 꾸미고 싶어,0
3155,6309,6310,실내 데이트 어디가 좋을까,실내 데이트 추천,0
3156,6311,6312,실망 안시키면 좋겠다,실망하지 않았으면 좋겠다,0
3157,6313,6314,실비 드는게 좋을까,실비 들까,0
3158,6315,6316,실수한거 같아,나 실수한건가,0
3159,6317,6318,실수했다.,일하는데 실수를 많이 해,0
3160,6319,6320,실험실 더러워,실험실이 너무 더러워,0
3161,6321,6322,싫어,심심,1
3162,6323,6324,싫어졌다가 좋아지는 경우도 있나요?,싫어졌다가 좋아지는 경우도 있나요?,0
3163,6325,6326,싫어하는 눈치가 아닌 거 같은데,싫어하는건 아닌 거 같은데,0
3164,6327,6328,싫은 건 아닌데,싫진 않은데,0
3165,6329,6330,심각합니다.,심장이 주저 앉은듯 합니다,1
3166,6331,6332,심난한 하루,싱숭생숭ㅠ,0
3167,6333,6334,심남이 내가 좋아하는 거 눈치 챘을까?,내가 좋아하는 거 눈치 챘을까?,0
3168,6335,6336,심리상담 받았어,싸웠다,1
3169,6337,6338,심부름 간다,심부름 다녀올게,0
3170,6339,6340,심술나,갑자기 나쁜 생각이 막 들더라,0
3171,6341,6342,심심아 심심하다,심심해,0
3172,6343,6344,심심한데 뭐 재미있는거 없을까,심심하다고,0
3173,6345,6346,심심한데 뭐하지,심심한데 뭐하면 좋을까,0
3174,6347,6348,심심해,썼다 지우고 다시 썼다가 지우고,1
3175,6349,6350,심심해요,심심하다,0
3176,6351,6352,심장이 터질거 같네,쓰고 또 지우고 또 쓰고,1
3177,6353,6354,심쿵하게 하는 방법,심쿵하게 하는 방법 따로 있나?,0
3178,6355,6356,십년감수했어,나 죽을 뻔함,0
3179,6357,6358,싸게 팔길래 샀어,할인해서 샀어,0
3180,6359,6360,싸구려 인생,쓰레기 맞지,1
3181,6361,6362,싸우고 시간을 갖자하면 보통 며칠 만에 연락해?,싸우고나서 보통 며칠 만에 연락해?,0
3182,6363,6364,싸우다보니까 사랑했던걸 까먹어,자꾸 싸우다보니까 사랑했던 것도 까먹어,0
3183,6365,6366,싸우면 안되는데,덜 싸우는 법,0
3184,6367,6368,싸우면 어떻게 해결해?,싸우면 보통 어떻게 해결해?,0
3185,6369,6370,싸우면 연락이 안돼,싸우면 연락 안 받는 사람 어떻게 해?,0
3186,6371,6372,싸우면 자꾸 잠수를 탄다 답답해,싸우면 잠수타는 사람?,0
3187,6373,6374,싸운다의 기준이 뭘까?,사랑한다는 기준이 뭘까,1
3188,6375,6376,싸울 때 내가 아는 사람이 맞나 싶어,싸울 때 그 사람이 맞나 싶어,0
3189,6377,6378,싸울 때 이겨낼 수 있는 방법이 있을까?,싸울 때 이기는 방법이 있을까?,0
3190,6379,6380,싸움을 피하는 방법,안 싸우는 법,0
3191,6381,6382,싸웠는데 화해 어떻게 하지,싸웠을 때 어떻게 해?,0
3192,6383,6384,쌍커풀 해볼까,쌍커풀 해볼까,0
3193,6385,6386,쌍커풀성형할까,성형할까,0
3194,6387,6388,쌤이 나만 뭐라 해,선생님이 나만 뭐라고 해,0
3195,6389,6390,쌩얼인데 짝남 만났어.,화장 안했는데 짝남 만났어.,0
3196,6391,6392,썸 고백해도 될까,썸인거 같은데 고백해도 될까,0
3197,6393,6394,썸 기준이 뭐야,썸의 기준이 뭐야,0
3198,6395,6396,썸 깨지고,썸만 타다가 깨졌어,0
3199,6397,6398,썸 깬 거 후회해.,괜히 고백한거 후회해.,0
3200,6399,6400,썸 깰 때 어떻게 해?,괜히 썸타는 분위기 싫어,1
3201,6401,6402,썸 끝나고 잡아도 될까,썸타다가 끝나는 거 같은데 잡아도 될까,0
3202,6403,6404,썸 끝난 건가,이제 썸도 끝난 건가,0
3203,6405,6406,썸 끝난거지?,썸 끝난거지?,0
3204,6407,6408,썸 끝내고 싶어,썸타는 거 같아서 싫어,0
3205,6409,6410,썸 끝내고 싶지 않아.,썸 끝내고 싶지 않아.,0
3206,6411,6412,썸 끝내는게 맞을까?,썸 끝내야 할까?,0
3207,6413,6414,썸 끝냈는데 너무 힘들어.,썸타다 끝냈는데 너무 힘들어.,0
3208,6415,6416,썸 너무 들이댔나,내가 너무 들이댔나,0
3209,6417,6418,썸 두달 넘었는데,썸만 두달 넘었는데 어떻할까,0
3210,6419,6420,썸 맞는지 궁금,우리 썸 맞는거임?,0
3211,6421,6422,썸 사이에서 원래 질투유발하고 그래?,원래 질투 나고 그래?,1
3212,6423,6424,썸 시작인 거 같은데 사귀고 싶어,썸 시작인 거 같은데 사귀자고 하고 싶어,1
3213,6425,6426,썸 어떻게 타?,썸 어떻게 타?,0
3214,6427,6428,썸 오래타는 건 재보는 거 아냐?,썸 오래타는 건 재보는 거 아냐?,0
3215,6429,6430,썸 오래타면 오래 못 사겨?,썸만 오래 타니까 가슴이 탄다.,1
3216,6431,6432,썸 왜 끝났지,썸 왜 끝났지,0
3217,6433,6434,썸 정리 어떤 식으로 해야 할까,썸 타는 사람이랑 마음 정리 어떤 식으로 해야 할까,0
3218,6435,6436,썸 정리하고 싶으면,썸 정리하고 싶어,0
3219,6437,6438,썸 중에 고백 언제가 적절해?,썸 타다가 고백하고 싶은데 언제가 적절해?,0
3220,6439,6440,썸 중에는 선톡이 중요?,썸 탈때는 먼저 톡하는 거 중요?,0
3221,6441,6442,썸 중인거 이야기할까,친구한테 썸 중인거 이야기 해야하나,0
3222,6443,6444,썸 지났는데 고백 안하면?,썸 지났는데 고백 안하면?,0
3223,6445,6446,썸 타고 싶다.,나도 썸 좀 타고 싶다.,0
3224,6447,6448,썸 타고 싶어,썸 타고 싶다. 연애 말고.,0
3225,6449,6450,썸 타고 있는데 연락 끊겼어. 먼저 해도 돼?,썸남이 연락 안하는데 먼저 해도 돼?,0
3226,6451,6452,썸 타고 있는데 주변에 말해?,썸 타고 있는데 주변에 말해도 돼?,0
3227,6453,6454,썸 타고 있는데 카톡 차단 당함,썸인 줄 알았는데 카톡 차단 당함,1
3228,6455,6456,썸 타기 좋은 알바 추천 좀.,썸 탈만한 알바 뭐가 있을까?,0
3229,6457,6458,썸 타긴 하는데 어색한 사이야. 톡 어떻게 계속 이어가?,어색하게 썸타는데 카톡 어떻게 계속 이어가?,0
3230,6459,6460,썸 타는 거 때문에 친구들이 놀려,썸 타는 거 때문에 친구들이 놀려,0
3231,6461,6462,썸 타는 거 좋아해?,너 썸 타는 거 좋아해?,0
3232,6463,6464,썸 타는 거 티내고 싶진 않아.,썸 타는 거 티 안 났으면 좋겠다..,0
3233,6465,6466,썸 타는 것 같은데 조언해줘.,썸 타는 것 같은데 조언 좀.,0
3234,6467,6468,썸 타는 것도 귀찮아.,썸 타는 것도 귀찮아.,0
3235,6469,6470,썸 타는 기간,썸 타는 계절이 왔나 봄.,0
3236,6471,6472,썸 타는 남자애가 연락 오는 꿈 뭘까,썸 타는 남자애가 연락 오는 꿈 뭘까,0
3237,6473,6474,썸 타는 노래 듣는 중인데 좋아.,썸 타는 노래 듣는 중인데 좋아.,0
3238,6475,6476,썸 타는 방법 좀 알려 줘,썸 타는 법 좀,0
3239,6477,6478,썸 타는 사람 만나기로 했는데 뭐 입어?,썸 타는 사람 만나기로 했는데 뭐 입고 나가지?,0
3240,6479,6480,썸 타는 사람 보고싶어.,오늘따라 썸 타는 사람 보고 싶어.,0
3241,6481,6482,썸 타는 사람 생일선물 오바인가?,썸 타는 사람 생선 준비 오바임?,0
3242,6483,6484,썸 타는 사람 선물 뭐 사야 해?,썸 타는 사람 생일이야. 선물 사야 해?,1
3243,6485,6486,썸 타는 사람 선물로 향수 어때?,썸 타는 사람 선물로 향수 어때?,0
3244,6487,6488,썸 타는 사람 이름 뭐라고 저장할까?,썸 타는 사람 이름 어떻게저장할까?,0
3245,6489,6490,썸 타는 사람 있는데 망설여지는데,썸 타는 사람 있는데 망설여지는데,0
3246,6491,6492,썸 타는 사람 있는데 불안해.,썸 타는 사람 있는데 불안해.,0
3247,6493,6494,썸 타는 사람이 꿈에 나왔어.,썸 타는 사람이 나오는 꿈 꿨어.,0
3248,6495,6496,썸 타는 사람이 내 프사 보고 귀엽대.,썸 타는 사람이 내 프사 보고 귀엽대.,0
3249,6497,6498,썸 타는 사람이 셀카 보내는 건 마음 있는 건가,썸 타는 사람이 셀카 보내는 건 뭐야?,0
3250,6499,6500,썸 타는 사람이랑 밥 먹기로 함,썸 타는 사람이랑 밥 약속 했어.,0
3251,6501,6502,썸 타는 사람한테 영통 걸까?,썸 타는 사람한테 영상통화 걸까?,0
3252,6503,6504,썸 타는 사람한테 영화 보자고 할까?,썸 타는 것 같은데 영화 보자고 할까?,0
3253,6505,6506,썸 타는 사이가 이렇게 편해도 되나?,썸 타는 사이인데 너무 간섭해.,1
3254,6507,6508,썸 타는 사이에 배낭여행 가능?,썸 타는 사이인데 답장 잘 안해1,0
3255,6509,6510,썸 타는 사이에 얼마나 간섭 가능?,썸 타는 사이에 마무리 어떻게 해?,1
3256,6511,6512,썸 타는 사이인데 너무 간섭이 심해.,썸 타는 사이인데 너무 간섭이 심해.,0
3257,6513,6514,썸 타는 사이인데 늦게 답장 해도 돼?,썸 타는 사이인데 답장 늦게 해도 돼?,0
3258,6515,6516,썸 타는 사이인데 카톡하다가 마무리 어떻게 해?,썸 타는 사이인데 카톡 마무리 어떻게 해?,0
3259,6517,6518,썸 타는 시간,회사 짝남오빠 게임 초대 톡 옴.,1
3260,6519,6520,썸 타는 애한테 사귀자고 해도 됨?,회사에 좋아하는 남자가 생겼어 어떡하지?,1
3261,6521,6522,썸 타는 여자 만나기로 했는데 편하게 입어도 됨?,회사에서 어떤 사람이랑 자꾸 눈 마추쳐.,1
3262,6523,6524,썸 타는 여자가 남사친 만나러 간다는데 뭐라 해?,회식 중이라고 하는데 연락이 안돼.,1
3263,6525,6526,썸 타는 여자가 있는데,회식하는데 나만 챙겨줘. 썸임?,1
3264,6527,6528,썸 타는 여자애 상메 궁금해.,후회없이 사랑하고 싶어,1
3265,6529,6530,썸 타는 여자애 프사에 남자 누굴까.,훔쳐보는 것도 눈치 보임.,1
3266,6531,6532,썸 타는 여자애가 연락 오는 꿈 뭐지?,훔쳐보는 것도 눈치 보임.,1
3267,6533,6534,썸 타는 여자애한테 벚꽃 보러 가자고 해도 돼?,흑기사 해주는 짝남.,1
3268,6535,6536,썸 타는 줄 알았는데 짝사랑이었네.,힘든 연애 좋은 연애라는게 무슨 차이일까?,1
3269,6537,6538,썸 타는 중에 데이트 비용은 누가?,힘들어서 결혼할까봐,1
3270,6539,6540,썸 타는 중인데 권태기가 온 듯,썸만 타다가 권태기가 온 듯,0
3271,6541,6542,썸 타는 중인데 나 말고 다른 사람하고도 썸타는 것 같아.,나 말고 다른 사람하고도 썸타는 것 같아.,0
3272,6543,6544,썸 타는 중인데 난 직장인이고 얘는 학생이야.,난 직장인이고 썸 타는 애는 학생이야.,0
3273,6545,6546,썸 타는 중인데 너무 인기 많아서 빼앗길까봐 걱정됨.,썸남이 너무 인기 많아서 빼앗길까봐 걱정됨.,0
3274,6547,6548,썸 타는 중인데 다른 사람과 연락 자제해야 해?,아직 썸인데 다른 사람과 연락 자제 해야 해?,0
3275,6549,6550,썸 타는 중인데 바빠서 연락 제대로 못하는데 이해해야겠지.,썸인데 바빠서 연락 제대로 못하는데 이해해야겠지.,0
3276,6551,6552,썸 타는 중인데 안 설레.,썸인데 안 설레.,0
3277,6553,6554,썸 타는데 고민 있어.,썸 타는 중인데 고민 있어.,0
3278,6555,6556,썸 타는데 맨날 늦게 들어가서 피곤하대,썸 타는데 맨날 피곤하대,0
3279,6557,6558,썸 타는데 머리 아파 신경쓰여.,썸 타는데 신경쓰여.,0
3280,6559,6560,썸 타는데 사랑하다고 말할 수 있음?,썸녀한테 사랑하다고 말할 수 있음?,0
3281,6561,6562,썸 타는데 원래 이렇게 적극적이야?,썸 타는데 원래 이렇게 적극적이야?,0
3282,6563,6564,썸 타는데 적극적으로 해도 됨?,썸 타는데 적극적인 사람 괜찮을까,0
3283,6565,6566,썸 타니까 연락에 집착하게 돼.,아직 썸이라서 연락에 집착하게 돼.,0
3284,6567,6568,썸 타다 고백할 시기?,썸 타다 언제쯤 고백하면 되나?,0
3285,6569,6570,썸 타다 깨진 애 있는데 다시 연락해볼까?,썸 타다 깨졌는데 다시 연락해도 되나.,0
3286,6571,6572,썸 타다 늙어 죽을 듯,썸 타다 죽을 듯,0
3287,6573,6574,썸 타다 지쳤어,썸 타다 지쳤어,0
3288,6575,6576,썸 타다가 고백하고 차였는데 연락해도 될까,썸 타다가 고백하고 차였는데 연락해도 될까,0
3289,6577,6578,썸 타다가 막상 사귀려고 하면 싫어.,썸 타는 분위기까지는 괜찮았는데 막상 사귀려고 하면 싫어.,0
3290,6579,6580,썸 타다가 말도 안하고 잠수 타는 경우 뭐야?,썸 타다가 잠수 타는 경우 뭐야?,0
3291,6581,6582,썸 타다가 이제 안 볼 거면 걍 잠수 타? 만나서 말해?,썸 타다가 걍 잠수 타? 만나서 말해?,0
3292,6583,6584,썸 타던 남자가 답장이 안와,썸 타던 남자가 카톡이 안와,0
3293,6585,6586,썸 타던 사이인데 부담 돼. 연락 무시해도 될까?,썸 타던 사이인데 이제 부담 돼. 연락 씹을까,0
3294,6587,6588,썸 타던 사인데 잠수타는 거 뭐야?,썸 타던 사인데 잠수타는 거 뭐야?,0
3295,6589,6590,썸 타던 선배가 연락을 안해,썸 타던 선배가 연락을 안해,0
3296,6591,6592,썸 타던 여자애가 자기랑 무슨 관계냐고 함.,썸 타던 여자애가 자기랑 무슨 관계냐고 함.,0
3297,6593,6594,썸 탈 때 꽃 선물 부담스러워 할까,썸 탈 때 꽃 선물 부담스러워 할까,0
3298,6595,6596,썸 탈 때 단답이나 줄임말 쓰지마?,썸 탈 때 단답 쓰지마?,0
3299,6597,6598,썸 탈 때 더 잘해주는 건 뭐임,썸 탈 때 더 잘해주는 건 뭐임,0
3300,6599,6600,썸 탈 때 말투,썸 탈 때 말투 신경쓰여,0
3301,6601,6602,썸 탈 때 무슨 말하지,썸 탈 때 무슨 말해도 어색해,0
3302,6603,6604,썸 탈 때 어디가?,썸 탈 때 놀러 가자면 어디가?,0
3303,6605,6606,썸 탈 때 연락문제로 속상한 적 있어?,썸 탈 때 연락 문제로 속상한 적 있어?,0
3304,6607,6608,썸 탈 때 예민한 부분 말해?,썸 탈 때 민감한 문제 말해?,0
3305,6609,6610,썸 탈 때가 그리워.,이제 썸 탈 때가 그리워.,0
3306,6611,6612,썸 탈 때는 설렜는데 사귀면 마음이 식을까?,썸 탈 때는 설렜는데 왜 사귀니까 식을까?,0
3307,6613,6614,썸 탈 때는 좋은데 연애하면 정이 뚝 떨어져. 왜그래?,썸 탈 때는 좋은데 연애하면 정이 뚝 떨어지는 이유,0
3308,6615,6616,썸 탈 때도 조건 보면 이상해?,썸일때 조건 보면 이상해?,0
3309,6617,6618,썸 탈 떄 남자가 좀 더 쓰는게 맞아?,썸 탈 때 남자가 돈 더 쓰는게 맞아?,0
3310,6619,6620,썸 탈출하고 싶어.,썸 탈출하고 싶어.,0
3311,6621,6622,썸 탔던 애 친구해도 되나,썸 탔던 애 친구해도 되나,0
3312,6623,6624,썸 탔던 애한테 연락왔어,썸 탔던 애한테 연락왔어,0
3313,6625,6626,썸 확인법,썸 확인법,0
3314,6627,6628,썸과 연인 사이,썸과 연인 사이,0
3315,6629,6630,썸끝인가요,썸끝인가요,0
3316,6631,6632,썸남 꿈 꿨어.,썸남 꿈 꿨어.,0
3317,6633,6634,썸남 만나기로 했는데 뭐 입어?,썸남 만나기로 했어,1
3318,6635,6636,썸남 만나기로 했는데 치마? 바지?,썸남 만나기로 했는데 뭐 입지?,0
3319,6637,6638,썸남 목소리 듣고 싶어.,썸남 보고 싶어.,0
3320,6639,6640,썸남 발렌타인 선물 뭐가 좋을까?,썸남 선물 뭐가 좋을까?,0
3321,6641,6642,썸남 빼빼로 줘야 함?,썸남 빼빼로 주면 어떨까?,0
3322,6643,6644,썸남 생겼는데 너무 조급해.,썸남 생겼는데 맘이 급해져.,0
3323,6645,6646,썸남 생겼는데 프사 뭐할까?,썸남 생겼는데 프로필 사진 뭐할까?,0
3324,6647,6648,썸남 생일 때 편지 줘도 될까,썸남 생일 때 편지 줘도 될까,0
3325,6649,6650,썸남 인스타 좋아요 눌러버렸어.,썸남 인스타 좋아요 눌러버렸어.,0
3326,6651,6652,썸남 있는데 완전 스윗함.,썸남 있는데 완전 스윗함.,0
3327,6653,6654,썸남 졸업하는데 가도 되나?,썸남 졸업식 가도 되나?,0
3328,6655,6656,썸남 졸업하는데 선물 뭐가 괜찮아?,썸남 졸업 선물 뭐가 좋을까?,0
3329,6657,6658,썸남 초콜릿 줘야 해?,썸남 초콜릿 줘야 하나?,0
3330,6659,6660,썸남 태도가 맘에 안들어,썸남 태도가 영 맘에 안들어,0
3331,6661,6662,썸남도 내 생각할까?,썸남도 지금 내 생각할까?,0
3332,6663,6664,썸남의 계속되는 약속 취소.,썸남이 자꾸 약속 취소해.,0
3333,6665,6666,썸남이 같이 운동하자는데 가능?,썸남이 같이 운동하자는데?,0
3334,6667,6668,썸남이 그냥 오빠 동생으로 지내자고 함.,썸남이 친한 오빠 동생으로 지내자고 함.,0
3335,6669,6670,썸남이 나한테 무관심한 것 같아.,썸남이 나한테 너무 무관심한 것 같아.,0
3336,6671,6672,썸남이 너무 진지해서 부담 돼.,썸남이 너무 진지해서 가끔 부담 돼.,0
3337,6673,6674,썸남이 넘 좋아서 절제가 안돼.,썸남이 넘 좋아.,0
3338,6675,6676,썸남이 데리러 온다고 하는데 뭐라고 반응해?,썸남이 데리러 온다고 하는데,0
3339,6677,6678,썸남이 둔한듯,썸남이 좀 많이 둔한 듯,0
3340,6679,6680,썸남이 술 취한 상태로 고백함. 기억할까?,썸남이 술 취해서 고백함. 기억할까?,0
